ORF, GSM114368, GSM114370, GSM114371, GSM114372, GSM114383, GSM114384, GSM114385, GSM114386, GSM114612, GSM114613, GSM114614, GSM114615, GSM116024, GSM116025, GSM116026, GSM116027, GSM116028, GSM116029, GSM116030, GSM116031
b1276,-0.008876349,0.147602585,0.147602585,0.496663612,0.496663612,0.496663612,0.496663612,0.496663612,0.177639526,0.177639526,0.034465442,-0.003765544,-0.047934073,-0.029731755,-0.032858554,-0.066887289,-0.064819156,-0.069321873,-0.003181361,-0.021000423
b1275,0.850540218,0.850540218,0.850540218,0.850540218,0.850540218,0.850540218,1.090004356,0.487698946,0.437778876,0.437778876,0.437778876,0.437778876,0.437778876,0.437778876,0.39875208,0.34145319,0.338147764,0.338147764,0.273156005,
b1274,-0.132182196,-0.132182196,-0.232135608,-0.232135608,-0.232135608,-0.232135608,-0.232135608,-0.232135608,0.024495205,0.120468946,0.120468946,0.065208873,-0.018641853,-0.018641853,0.072678236,0.024889858,0.102361768,0.108072921,0.222990234,0.215470354
b1279,-0.206644953,0.368336911,0.368336911,0.368336911,0.344902747,0.412977797,0.361903828,0.411350006,0.299265523,0.338692815,0.338692815,0.348104285,0.348104285,0.364242774,0.267277856,0.239426023,0.277910269,0.283757454,0.274884312,0.273052823
b1678,0.726623629,0.291294825,0.291294825,0.286923821,0.498723989,0.498723989,0.471162615,0.267523848,0.340668262,0.245787459,0.286061284,0.204855122,0.256148275,0.255767954,0.214798546,0.226265551,0.242463546,0.257638034,0.262548442,
b4359,-0.164453274,-0.115487286,0.018114264,0.018114264,0.018114264,0.079547929,0.079547929,0.366420987,0.214518704,0.09827109,0.064409398,0.119167671,0.044749296,0.154640661,0.111821408,0.142581383,0.139785005,0.130180952,0.131379289,
b4358,-0.220683809,0.210208184,0.380900564,0.353964835,0.183152554,0.183152554,0.183152554,0.196454353,0.071796646,0.024074627,0.01051085,0.027886563,-0.009208158,-0.013667105,-0.005278483,0.035130435,0.027312384,0.074433603,0.061251363,
b1913,1.070338034,1.070338034,0.466427411,0.466427411,0.466427411,0.225160828,0.054489891,0.055223162,0.055223162,-0.143993395,-0.145535423,-0.077124318,-0.099445194,-0.099445194,-0.127321812,-0.101757919,-0.101757919,-0.101757919,-0.107992264,
b4353,0.213917969,0.315170276,0.315170276,0.315170276,0.315170276,-0.022538021,-0.022538021,-0.090161439,-0.090161439,-0.090161439,0.028935159,0.028935159,0.028935159,0.026614664,-0.02686408,-0.050024002,-0.0274365,-0.0274365,,
b4352,0.37811065,0.191167528,-0.024714584,0.030147163,-0.066486397,0.025172298,-0.021322619,0.051709129,-0.011063935,-0.048949228,-0.089642286,-0.031258492,-0.065402324,-0.026097722,-0.026630937,0.000646216,-0.009332091,-0.009332091,-0.017810092,
b4351,-0.382276507,-0.382276507,0.048611283,-0.191011356,-0.265720091,-0.467224014,-0.467224014,-0.467224014,-0.467224014,-0.449089268,-0.423820366,-0.291992867,-0.291992867,-0.328327891,-0.202343448,-0.202343448,-0.202343448,-0.202343448,-0.272420717,-0.275621964
b4350,-1.267910973,-1.267910973,-1.267910973,-1.267910973,-1.267910973,-1.267910973,-1.267910973,-0.602061421,-0.602061421,-0.264008783,-0.127645003,-0.161708302,-0.161708302,-0.119628145,-0.10017429,-0.060291297,-0.031435196,-0.031435196,0.065095659,0.065095659
b4357,0.927333285,0.927333285,0.927333285,0.927333285,0.927333285,0.927333285,0.708520649,0.090229727,0.090229727,0.090229727,0.265102585,0.265102585,0.188130095,0.12860007,0.136737674,0.040744724,0.089572548,0.089572548,,
b1675,0.539394671,1.063420945,1.063420945,1.063420945,1.063420945,1.063420945,1.063420945,1.067001978,0.60522874,0.657783199,0.657783199,0.657783199,0.657783199,0.657783199,0.657783199,0.5406501,0.5406501,0.5406501,0.425539052,0.425539052
b4355,-0.454646465,-0.454646465,0.020210795,0.020210795,0.020210795,0.020210795,0.020210795,-0.032586648,-0.032586648,0.136234587,0.341507515,0.188663476,0.188663476,0.188663476,0.60660152,0.60660152,0.60660152,0.60660152,0.60660152,0.719594957
b2211,0.746757734,0.746757734,0.746757734,0.746757734,0.746757734,1.50053126,0.797623192,0.753306563,0.542340285,0.484833441,0.484833441,0.432091189,0.432091189,0.432091189,0.432091189,0.432091189,0.432091189,0.352604023,0.285899849,
b2142,-0.418157455,-0.442726309,-0.442726309,-0.442726309,-0.209977657,-0.338655739,-0.338655739,-0.327118928,-0.315488812,-0.250835975,-0.265506824,-0.265506824,-0.198272677,-0.210475174,-0.186788067,-0.140564286,,,,
b1674,0.628366281,0.628366281,0.499513393,-0.096605853,-0.273398572,-0.366971868,-0.366971868,-0.367823299,-0.417406819,-0.417406819,-0.299902641,-0.229242625,-0.287801053,-0.150181911,-0.26809979,-0.16279791,-0.179298122,-0.13283076,-0.165733307,
b1916,-0.779456335,-0.048123297,-0.246045266,-0.030394456,-0.184154838,0.002804802,0.002804802,0.002804802,0.010680082,0.13382722,0.13382722,0.13382722,0.005591331,0.049649112,0.049649112,0.049649112,0.031752001,0.031752001,0.031752001,0.090305629
b2213,0.39086436,0.39086436,0.39086436,0.39086436,-0.066153556,-0.066153556,-0.066153556,-0.066153556,-0.066153556,-0.066153556,-0.206418372,-0.204410728,-0.204410728,-0.204410728,-0.274294181,-0.274294181,-0.264358923,,,
